id,play_name
0,데이비드 시먼
1,앨런 시어러
2,로비 파울러
3,로이 킨
4,라이언 긱스
5,게리 네빌
6,폴 스콜스
7,데이비드 베컴
8,솔 캠벨
9,테디 셰링엄
10,제이-제이 오코차
11,옌스 레만
12,크리스티안 비에리
13,후이 코스타
14,호베르투 카를루스
15,하비에르 사네티
16,A. 델피에로
17,알레산드로 네스타
18,파올로 말디니
19,로베르토 바조
20,마르셀 드사이
21,파비오 칸나바로
22,필리포 인자기
23,잔프랑코 졸라
24,클라렌스 세이도르프
25,지네딘 지단
26,파트리크 비에이라
27,로베르 피레스
28,에마뉘엘 프티
29,티에리 앙리
30,클로드 마켈렐레
31,올레 군나르 솔샤르
32,미하엘 발락
33,데니스 베르캄프
34,젠나로 가투소
35,히바우두
36,H. 스토이치코프
37,카푸
38,잔루카 잠브로타
39,마이클 오언
40,제이미 캐러거
41,프랭크 램파드
42,카시야스
43,루이스 피구
44,야리 리트마넨
45,P. 클라위베르트
46,M. 오베르마르스
47,다비드 트레제게
48,파벨 네드베드
49,프레디 융베리
50,리오 퍼디난드
51,에르난 크레스포
52,베론
53,안드레아 피를로
54,로빈 반페르시
55,사뮈엘 에토
56,뤼트 반니스텔로이
57,차비
58,미로슬라프 클로제
59,카를레스 푸욜
60,안드리 셰우첸코
61,나카타 히데토시
62,스티븐 제라드
63,비토르 바이아
64,리켈메
65,호나우지뉴
66,디디에 드로그바
67,애슐리 콜
68,호나우두
69,박지성
70,라울
71,마이클 에시앙
72,알렉시 랄라스
73,페트르 체흐
74,페르난도 토레스
75,에드윈 반데르사르
76,헨릭 라르손
77,데쿠
78,웨인 루니
79,파울레타
80,필립 람
81,B. 슈바인슈타이거
82,카카
83,네마냐 비디치
84,루이스 에르난데스
85,페르난도 이에로
86,안드레아스 브레메
87,게오르게 하지
88,우고 산체스
89,카를루스 아우베르투
90,에릭 칸토나
91,로날트 쿠만
92,프랑크 더부르
93,보비 무어
94,요한 크루이프
95,소크라테스
96,페터 슈마이켈
97,차범근
98,부트라게뇨
99,마르코 반바스텐
100,프랑크 레이카르트
101,루드 굴리트
102,파울루 푸트리
103,게리 리네커
104,다보르 슈케르
105,슈테판 에펜베르크
106,올리버 비어호프
107,미카엘 라우드루프
108,브리안 라우드루프
109,로랑 블랑
110,카를로스 발데라마
111,조지 베스트
112,레프 야신
113,에우제비우
114,과르디올라
115,존 반스
116,가린샤
117,케니 달글리시
118,이언 러시
