팀 컬러,팀 컬러 설명,1단계 적용 조건,2단계 적용 조건,3단계 적용 조건,4단계 적용 조건,1단계 효과,2단계 효과,3단계 효과,4단계 효과
가나,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 볼 컨트롤 +2 / 속력 +1 / ,전체 능력치 +4 / 볼 컨트롤 +3 / 속력 +3 / 
그리스,그리스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 반응 속도 +2 / 위치 선정 +1 / ,전체 능력치 +4 / 반응 속도 +3 / 위치 선정 +3 / 
나이지리아,나이지리아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 가로채기 +1 / ,전체 능력치 +4 / 가속력 +3 / 가로채기 +3 / 
남아프리카공화국,남아프리카공화국 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 헤더 +2 / 적극성 +1 / ,전체 능력치 +4 / 헤더 +3 / 적극성 +3 / 
네덜란드,네덜란드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 태클 +2 / 중거리 슛 +1 / ,전체 능력치 +4 / 태클 +3 / 중거리 슛 +3 / 
노르웨이,노르웨이 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 시야 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 시야 +3 / 
단일 국가,단일 국가 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 적극성 +1 / ,전체 능력치 +4 / 스태미너 +3 / 적극성 +3 / 
대한민국,대한민국 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 크로스 +2 / 긴 패스 +1 / ,전체 능력치 +4 / 크로스 +3 / 긴 패스 +3 / 
덴마크,덴마크 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 시야 +2 / 중거리 슛 +1 / ,전체 능력치 +4 / 시야 +3 / 중거리 슛 +3 / 
독일,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 크로스 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 크로스 +3 / 
멕시코,멕시코 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 반응 속도 +2 / 드리블 +1 / ,전체 능력치 +4 / 반응 속도 +3 / 드리블 +3 / 
모로코,모로코 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 반응 속도 +1 / ,전체 능력치 +4 / 스태미너 +3 / 반응 속도 +3 / 
미국,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 밸런스 +1 / ,전체 능력치 +4 / 가속력 +3 / 밸런스 +3 / 
벨기에,벨기에 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 몸싸움 +1 / ,전체 능력치 +4 / 드리블 +3 / 몸싸움 +3 / 
북마케도니아,북마케도니아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 침착성 +2 / 스태미너 +1 / ,전체 능력치 +4 / 침착성 +3 / 스태미너 +3 / 
북아일랜드,북아일랜드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 스태미너 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 스태미너 +3 / 
브라질,브라질 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 볼 컨트롤 +2 / 스태미너 +1 / ,전체 능력치 +4 / 볼 컨트롤 +3 / 스태미너 +3 / 
사우디아라비아,사우디아라비아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 반응 속도 +2 / 대인 수비 +1 / ,전체 능력치 +4 / 반응 속도 +3 / 대인 수비 +3 / 
세네갈,세네갈 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가로채기 +2 / 스태미너 +1 / ,전체 능력치 +4 / 가로채기 +3 / 스태미너 +3 / 
세르비아,세르비아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 볼 컨트롤 +2 / 긴 패스 +1 / ,전체 능력치 +4 / 볼 컨트롤 +3 / 긴 패스 +3 / 
스웨덴,스웨덴 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 헤더 +2 / 밸런스 +1 / ,전체 능력치 +4 / 헤더 +3 / 밸런스 +3 / 
스위스,스위스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 크로스 +1 / ,전체 능력치 +4 / 스태미너 +3 / 크로스 +3 / 
스코틀랜드,스코틀랜드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 슬라이딩 태클 +2 / 태클 +1 / ,전체 능력치 +4 / 슬라이딩 태클 +3 / 태클 +3 / 
스페인,스페인 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 가로채기 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 가로채기 +3 / 
슬로바키아,슬로바키아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 위치 선정 +2 / 긴 패스 +1 / ,전체 능력치 +4 / 위치 선정 +3 / 긴 패스 +3 / 
슬로베니아,슬로베니아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 위치 선정 +2 / 헤더 +1 / ,전체 능력치 +4 / 위치 선정 +3 / 헤더 +3 / 
아르헨티나,아르헨티나 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 골 결정력 +1 / ,전체 능력치 +4 / 드리블 +3 / 골 결정력 +3 / 
아이슬란드,아이슬란드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 프리킥 +2 / 헤더 +1 / ,전체 능력치 +4 / 프리킥 +3 / 헤더 +3 / 
알제리,알제리 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 크로스 +1 / ,전체 능력치 +4 / 스태미너 +3 / 크로스 +3 / 
에콰도르,에콰도르 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 민첩성 +2 / 반응 속도 +1 / ,전체 능력치 +4 / 민첩성 +3 / 반응 속도 +3 / 
오스트리아,오스트리아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 슬라이딩 태클 +2 / 크로스 +1 / ,전체 능력치 +4 / 슬라이딩 태클 +3 / 크로스 +3 / 
우루과이,우루과이 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 위치 선정 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 위치 선정 +3 / 
우크라이나,우크라이나 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 중거리 슛 +2 / 스태미너 +1 / ,전체 능력치 +4 / 중거리 슛 +3 / 스태미너 +3 / 
웨일스,웨일스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 속력 +1 / ,전체 능력치 +4 / 가속력 +3 / 속력 +3 / 
이란,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 긴 패스 +2 / 몸싸움 +1 / ,전체 능력치 +4 / 긴 패스 +3 / 몸싸움 +3 / 
이집트,이집트 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 가속력 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 가속력 +3 / 
이탈리아,이탈리아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 긴 패스 +2 / 슬라이딩 태클 +1 / ,전체 능력치 +4 / 긴 패스 +3 / 슬라이딩 태클 +3 / 
일본,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 적극성 +1 / ,전체 능력치 +4 / 스태미너 +3 / 적극성 +3 / 
잉글랜드,잉글랜드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 긴 패스 +2 / 골 결정력 +1 / ,전체 능력치 +4 / 긴 패스 +3 / 골 결정력 +3 / 
중국,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 민첩성 +2 / 스태미너 +1 / ,전체 능력치 +4 / 민첩성 +3 / 스태미너 +3 / 
체코,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 커브 +2 / 적극성 +1 / ,전체 능력치 +4 / 커브 +3 / 적극성 +3 / 
칠레,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 짧은 패스 +1 / ,전체 능력치 +4 / 드리블 +3 / 짧은 패스 +3 / 
카메룬,카메룬 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 속력 +2 / 밸런스 +1 / ,전체 능력치 +4 / 속력 +3 / 밸런스 +3 / 
코스타리카,코스타리카 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 적극성 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 적극성 +3 / 
코트디부아르,코트디부아르 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 몸싸움 +2 / 점프 +1 / ,전체 능력치 +4 / 몸싸움 +3 / 점프 +3 / 
콜롬비아,콜롬비아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 볼 컨트롤 +2 / 중거리 슛 +1 / ,전체 능력치 +4 / 볼 컨트롤 +3 / 중거리 슛 +3 / 
크로아티아,크로아티아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 볼 컨트롤 +2 / 짧은 패스 +1 / ,전체 능력치 +4 / 볼 컨트롤 +3 / 짧은 패스 +3 / 
튀니지,튀니지 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 슛 파워 +2 / 태클 +1 / ,전체 능력치 +4 / 슛 파워 +3 / 태클 +3 / 
튀르키예,튀르키예 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 적극성 +2 / 긴 패스 +1 / ,전체 능력치 +4 / 적극성 +3 / 긴 패스 +3 / 
파라과이,파라과이 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 시야 +2 / 드리블 +1 / ,전체 능력치 +4 / 시야 +3 / 드리블 +3 / 
페루,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 골 결정력 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 골 결정력 +3 / 
포르투갈,포르투갈 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 위치 선정 +2 / 드리블 +1 / ,전체 능력치 +4 / 위치 선정 +3 / 드리블 +3 / 
폴란드,폴란드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 헤더 +2 / 위치 선정 +1 / ,전체 능력치 +4 / 헤더 +3 / 위치 선정 +3 / 
프랑스,프랑스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 짧은 패스 +1 / ,전체 능력치 +4 / 드리블 +3 / 짧은 패스 +3 / 
핀란드,핀란드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 침착성 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 침착성 +3 / 
헝가리,헝가리 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 침착성 +2 / 커브 +1 / ,전체 능력치 +4 / 침착성 +3 / 커브 +3 / 
호주,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 슛 파워 +2 / 몸싸움 +1 / ,전체 능력치 +4 / 슛 파워 +3 / 몸싸움 +3 / 
