팀 컬러,팀 컬러 설명,1단계 적용 조건,2단계 적용 조건,3단계 적용 조건,4단계 적용 조건,1단계 효과,2단계 효과,3단계 효과,4단계 효과
1. FC 우니온 베를린,1. FC 우니온 베를린 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 크로스 +2 / 점프 +1 / ,전체 능력치 +4 / 크로스 +3 / 점프 +3 / 
1. FC 쾰른,1. FC 쾰른 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 스태미너 +1 / ,전체 능력치 +4 / 가속력 +3 / 스태미너 +3 / 
1. FSV 마인츠 05,1. FSV 마인츠 05 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가로채기 +2 / 위치 선정 +1 / ,전체 능력치 +4 / 가로채기 +3 / 위치 선정 +3 / 
19 New Generation,19 New Generation 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
20 New Generation,20 New Generation 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
2012 KOREAN HEROES,2012 KOREAN HEROES 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
21 KFA,21 KFA 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
21 NEW GENERATION,21 NEW GENERATION 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
22 HEROES,22 HEROES 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
22 KFA,22 KFA 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
