team color
1. FC 우니온 베를린
1. FC 쾰른
1. FSV 마인츠 05
19 New Generation
20 New Generation
2012 KOREAN HEROES
21 KFA
21 NEW GENERATION
22 HEROES
22 KFA
AC 밀란
AS 모나코
AS 생테티엔
Back to Back
Best of Europe 21
Best of World Cup
Captain
Chelsea F.C. Ambassador
Competitors Of Continents
European Best Stars
FC 낭트
FC 로리앙
FC 메스
FC 바르셀로나
FC 바젤 1893
FC 살케 04
FC 서울
FC 아우크스부르크
FC 안양
FC 지롱댕 보르도
FC 코펜하겐
FC 포르투
Free Agent
Golden Rookies
Heroes Of the Team
ICON
LA 갤럭시
Legend of the Loan
Legendary Numbers
Liverpool F.C. Ambassador
LOSC 릴
Loyal Heroes
Man City Icon
Moments of Glory
Multi-League Champions
National Hero Debut
Nostalgia
OGC 니스
PSV
RB 라이프치히
RC 겡크
RC 랑스
RC 셀타 비고
RC 스트라스부르
RCD 마요르카
RCD 에스파뇰
Real Madrid CF Ambassador
SC 프라이부르크
SD 에이바르
SD 우에스카
SL 벤피카
Spotlight
Team K League
Team Korea Icon
Top Transfer
Tournament Best
Tournament Champions
TSG 호펜하임
Unsung Players
Veteran
VfB 슈투트가르트
VfL 볼프스부르크
World Cup 2022
갈라타사라이 SK
강원 FC
경남 FC
광저우 R&F FC
광저우 에버그란데 타오바오
광주 FC
그라나다 CF
김천 상무
나폴리 FC
뉴캐슬 유나이티드
님 올랭피크
단일 팀
대구 FC
대전 하나 시티즌
데포르티보 알라베스
디나모 자그레브
디나모 키이우
디종 FCO
라티움
레드불 잘츠부르크
레반테 UD
레스터 시티
레알 마드리드
레알 바야돌리드
레알 베티스
레알 소시에다드
레인저스
로마 FC
리버풀
리즈 유나이티드
맨체스터 시티
맨체스터 유나이티드
메디폴 바사크세히르 FK
몽펠리에 HSC
미들즈브러
바이에른 뮌헨
바이엘 04 레버쿠젠
발렌시아 CF
번리
베네벤토
베르가모 칼초
베르더 브레멘
보루시아 도르트문트
보루시아 묀헨글라트바흐
볼로냐
부산 아이파크
부천 FC 1995
브라이턴 호브 앨비언
블랙번 로버스
비야레알 CF
사수올로
사우샘프턴
산둥 루넝 타이산
삼프도리아
상하이 SIPG FC
상하이 그린랜드 선화
샤흐타르 도네츠크
서울 이랜드
성남 FC
세비야 FC
셀틱
셰필드 유나이티드
수원 FC
수원 삼성 블루윙즈
스타드 랭스
스타드 렌
스타드 브레스트 29
스토크 시티
스파르타 프라하
스페치아
스포르팅 CP
아르미니아 빌레펠트
아스널
아약스
아인트라흐트 프랑크푸르트
아틀레티코 마드리드
아틀레틱 클럽 빌바오
안산 그리너스 FC
앙제 SCO
애스턴 빌라
에버턴
엘라스 베로나
엘체 CF
오사수나
올랭피크 리옹
올랭피크 마르세유
올림피아코스 CFP
왓퍼드
우디네세
울버햄프턴 원더러스
울산 현대 FC
웨스트 브로미치 앨비언
웨스트 햄 유나이티드
유벤투스
인천 유나이티드
인테르
전남 드래곤즈
전북 현대 모터스
제노아
제주 유나이티드
첼시
충남 아산 축구단
충칭 리판
카디스 CF
칼리아리
크로토네
크리스털 팰리스
톈진 테다 FC
토리노
토트넘 홋스퍼
파르마
파리 생제르맹
페예노르트
포항 스틸러스
풀럼
피오렌티나
함부르크 SV
헤르타 베를린
헤타페 CF
